FIPS,County,Year,Rank
53001,Adams,2015,20
53003,Asotin,2015,28
53005,Benton,2015,11
53007,Chelan,2015,13
53009,Clallam,2015,27
53011,Clark,2015,14
53013,Columbia,2015,12
53015,Cowlitz,2015,32
53017,Douglas,2015,9
53019,Ferry,2015,34
53021,Franklin,2015,19
53023,Garfield,2015,29
53025,Grant,2015,23
53027,Grays Harbor,2015,36
53029,Island,2015,6
53031,Jefferson,2015,15
53033,King,2015,5
53035,Kitsap,2015,17
53037,Kittitas,2015,3
53039,Klickitat,2015,25
53041,Lewis,2015,26
53043,Lincoln,2015,18
53045,Mason,2015,33
53047,Okanogan,2015,37
53049,Pacific,2015,38
53051,Pend Oreille,2015,35
53053,Pierce,2015,21
53055,San Juan,2015,2
53057,Skagit,2015,16
53059,Skamania,2015,24
53061,Snohomish,2015,7
53063,Spokane,2015,22
53065,Stevens,2015,31
53067,Thurston,2015,8
53069,Wahkiakum,2015,39
53071,Walla Walla,2015,10
53073,Whatcom,2015,4
53075,Whitman,2015,1
53077,Yakima,2015,30
53001,Adams,2016,32
53003,Asotin,2016,22
53005,Benton,2016,14
53007,Chelan,2016,16
53009,Clallam,2016,21
53011,Clark,2016,12
53013,Columbia,2016,19
53015,Cowlitz,2016,31
53017,Douglas,2016,15
53019,Ferry,2016,38
53021,Franklin,2016,26
53023,Garfield,2016,20
53025,Grant,2016,28
53027,Grays Harbor,2016,34
53029,Island,2016,3
53031,Jefferson,2016,6
53033,King,2016,2
53035,Kitsap,2016,9
53037,Kittitas,2016,10
53039,Klickitat,2016,25
53041,Lewis,2016,27
53043,Lincoln,2016,8
53045,Mason,2016,29
53047,Okanogan,2016,36
53049,Pacific,2016,35
53051,Pend Oreille,2016,37
53053,Pierce,2016,24
53055,San Juan,2016,1
53057,Skagit,2016,13
53059,Skamania,2016,18
53061,Snohomish,2016,4
53063,Spokane,2016,23
53065,Stevens,2016,30
53067,Thurston,2016,7
53069,Wahkiakum,2016,39
53071,Walla Walla,2016,17
53073,Whatcom,2016,5
53075,Whitman,2016,11
53077,Yakima,2016,33
53001,Adams,2017,29
53003,Asotin,2017,23
53005,Benton,2017,11
53007,Chelan,2017,17
53009,Clallam,2017,21
53011,Clark,2017,14
53013,Columbia,2017,20
53015,Cowlitz,2017,32
53017,Douglas,2017,15
53019,Ferry,2017,37
53021,Franklin,2017,19
53023,Garfield,2017,NR
53025,Grant,2017,27
53027,Grays Harbor,2017,35
53029,Island,2017,3
53031,Jefferson,2017,4
53033,King,2017,2
53035,Kitsap,2017,10
53037,Kittitas,2017,8
53039,Klickitat,2017,22
53041,Lewis,2017,26
53043,Lincoln,2017,18
53045,Mason,2017,28
53047,Okanogan,2017,34
53049,Pacific,2017,31
53051,Pend Oreille,2017,38
53053,Pierce,2017,24
53055,San Juan,2017,1
53057,Skagit,2017,9
53059,Skamania,2017,12
53061,Snohomish,2017,6
53063,Spokane,2017,25
53065,Stevens,2017,30
53067,Thurston,2017,7
53069,Wahkiakum,2017,36
53071,Walla Walla,2017,16
53073,Whatcom,2017,5
53075,Whitman,2017,13
53077,Yakima,2017,33
53001,Adams,2018,34
53003,Asotin,2018,21
53005,Benton,2018,12
53007,Chelan,2018,10
53009,Clallam,2018,26
53011,Clark,2018,9
53013,Columbia,2018,37
53015,Cowlitz,2018,29
53017,Douglas,2018,13
53019,Ferry,2018,39
53021,Franklin,2018,15
53023,Garfield,2018,25
53025,Grant,2018,24
53027,Grays Harbor,2018,35
53029,Island,2018,4
53031,Jefferson,2018,5
53033,King,2018,2
53035,Kitsap,2018,8
53037,Kittitas,2018,11
53039,Klickitat,2018,20
53041,Lewis,2018,27
53043,Lincoln,2018,14
53045,Mason,2018,28
53047,Okanogan,2018,32
53049,Pacific,2018,36
53051,Pend Oreille,2018,38
53053,Pierce,2018,19
53055,San Juan,2018,1
53057,Skagit,2018,16
53059,Skamania,2018,22
53061,Snohomish,2018,3
53063,Spokane,2018,23
53065,Stevens,2018,30
53067,Thurston,2018,6
53069,Wahkiakum,2018,33
53071,Walla Walla,2018,18
53073,Whatcom,2018,7
53075,Whitman,2018,17
53077,Yakima,2018,31
53001,Adams,2019,33
53003,Asotin,2019,24
53005,Benton,2019,15
53007,Chelan,2019,7
53009,Clallam,2019,25
53011,Clark,2019,11
53013,Columbia,2019,38
53015,Cowlitz,2019,31
53017,Douglas,2019,10
53019,Ferry,2019,39
53021,Franklin,2019,13
53023,Garfield,2019,29
53025,Grant,2019,26
53027,Grays Harbor,2019,36
53029,Island,2019,4
53031,Jefferson,2019,16
53033,King,2019,2
53035,Kitsap,2019,8
53037,Kittitas,2019,12
53039,Klickitat,2019,17
53041,Lewis,2019,30
53043,Lincoln,2019,14
53045,Mason,2019,28
53047,Okanogan,2019,34
53049,Pacific,2019,37
53051,Pend Oreille,2019,35
53053,Pierce,2019,20
53055,San Juan,2019,1
53057,Skagit,2019,19
53059,Skamania,2019,21
53061,Snohomish,2019,3
53063,Spokane,2019,23
53065,Stevens,2019,27
53067,Thurston,2019,5
53069,Wahkiakum,2019,22
53071,Walla Walla,2019,18
53073,Whatcom,2019,9
53075,Whitman,2019,6
53077,Yakima,2019,32
53001,Adams,2020,26
53003,Asotin,2020,24
53005,Benton,2020,17
53007,Chelan,2020,13
53009,Clallam,2020,25
53011,Clark,2020,8
53013,Columbia,2020,38
53015,Cowlitz,2020,33
53017,Douglas,2020,6
53019,Ferry,2020,39
53021,Franklin,2020,15
53023,Garfield,2020,28
53025,Grant,2020,27
53027,Grays Harbor,2020,37
53029,Island,2020,3
53031,Jefferson,2020,14
53033,King,2020,2
53035,Kitsap,2020,11
53037,Kittitas,2020,10
53039,Klickitat,2020,31
53041,Lewis,2020,30
53043,Lincoln,2020,16
53045,Mason,2020,20
53047,Okanogan,2020,32
53049,Pacific,2020,36
53051,Pend Oreille,2020,35
53053,Pierce,2020,22
53055,San Juan,2020,1
53057,Skagit,2020,12
53059,Skamania,2020,21
53061,Snohomish,2020,7
53063,Spokane,2020,19
53065,Stevens,2020,29
53067,Thurston,2020,9
53069,Wahkiakum,2020,23
53071,Walla Walla,2020,18
53073,Whatcom,2020,5
53075,Whitman,2020,4
53077,Yakima,2020,34
53001,Adams,2021,31
53003,Asotin,2021,29
53005,Benton,2021,16
53007,Chelan,2021,9
53009,Clallam,2021,25
53011,Clark,2021,10
53013,Columbia,2021,30
53015,Cowlitz,2021,33
53017,Douglas,2021,5
53019,Ferry,2021,39
53021,Franklin,2021,12
53023,Garfield,2021,18
53025,Grant,2021,27
53027,Grays Harbor,2021,38
53029,Island,2021,4
53031,Jefferson,2021,15
53033,King,2021,2
53035,Kitsap,2021,13
53037,Kittitas,2021,11
53039,Klickitat,2021,28
53041,Lewis,2021,32
53043,Lincoln,2021,20
53045,Mason,2021,23
53047,Okanogan,2021,35
53049,Pacific,2021,37
53051,Pend Oreille,2021,36
53053,Pierce,2021,19
53055,San Juan,2021,1
53057,Skagit,2021,14
53059,Skamania,2021,21
53061,Snohomish,2021,6
53063,Spokane,2021,26
53065,Stevens,2021,24
53067,Thurston,2021,8
53069,Wahkiakum,2021,22
53071,Walla Walla,2021,17
53073,Whatcom,2021,7
53075,Whitman,2021,3
53077,Yakima,2021,34
53001,Adams,2022,29
53003,Asotin,2022,31
53005,Benton,2022,15
53007,Chelan,2022,13
53009,Clallam,2022,26
53011,Clark,2022,11
53013,Columbia,2022,33
53015,Cowlitz,2022,30
53017,Douglas,2022,4
53019,Ferry,2022,39
53021,Franklin,2022,17
53023,Garfield,2022,27
53025,Grant,2022,28
53027,Grays Harbor,2022,37
53029,Island,2022,3
53031,Jefferson,2022,12
53033,King,2022,2
53035,Kitsap,2022,9
53037,Kittitas,2022,14
53039,Klickitat,2022,25
53041,Lewis,2022,32
53043,Lincoln,2022,20
53045,Mason,2022,22
53047,Okanogan,2022,35
53049,Pacific,2022,34
53051,Pend Oreille,2022,38
53053,Pierce,2022,19
53055,San Juan,2022,1
53057,Skagit,2022,10
53059,Skamania,2022,21
53061,Snohomish,2022,5
53063,Spokane,2022,23
53065,Stevens,2022,24
53067,Thurston,2022,8
53069,Wahkiakum,2022,18
53071,Walla Walla,2022,16
53073,Whatcom,2022,7
53075,Whitman,2022,6
53077,Yakima,2022,36
53001,Adams,2023,27
53003,Asotin,2023,34
53005,Benton,2023,10
53007,Chelan,2023,15
53009,Clallam,2023,24
53011,Clark,2023,9
53013,Columbia,2023,31
53015,Cowlitz,2023,30
53017,Douglas,2023,3
53019,Ferry,2023,39
53021,Franklin,2023,14
53023,Garfield,2023,26
53025,Grant,2023,29
53027,Grays Harbor,2023,37
53029,Island,2023,4
53031,Jefferson,2023,12
53033,King,2023,2
53035,Kitsap,2023,6
53037,Kittitas,2023,13
53039,Klickitat,2023,28
53041,Lewis,2023,33
53043,Lincoln,2023,18
53045,Mason,2023,25
53047,Okanogan,2023,36
53049,Pacific,2023,32
53051,Pend Oreille,2023,38
53053,Pierce,2023,20
53055,San Juan,2023,1
53057,Skagit,2023,7
53059,Skamania,2023,23
53061,Snohomish,2023,8
53063,Spokane,2023,22
53065,Stevens,2023,19
53067,Thurston,2023,17
53069,Wahkiakum,2023,21
53071,Walla Walla,2023,16
53073,Whatcom,2023,11
53075,Whitman,2023,5
53077,Yakima,2023,35
